Базовая,Фото,Название,Артикул,Активность,Магазин,Группа,Количество,Торговое предложение,XML ID,Габариты,Артикул,Количество,Внешний ID,Активность,Закупочная цена,Закупочная цена торгового предложения,Внешний ID,Ссылка в магазине,Производитель,Вес,XML ID
28000,https://lubanikishina.com/upload/iblock/896/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (42),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,1,3118,1,0,0,3117,https://lubanikishina.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
28000,https://lubanikishina.com/upload/iblock/896/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (44),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,2,3119,1,0,0,3117,https://lubanikishina.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
28000,https://lubanikishina.com/upload/iblock/896/raj51vr44mw8jf5c5myc2wfqqctvkmjx.jpg,Бомбер Билли (BILLIE) черный,CT/BILLIE/black,1,Интернет магазин,Куртки,3,Бомбер Билли (BILLIE) черный (46),747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,CT/BILLIE/black,0,3120,1,0,0,3117,https://lubanikishina.com/catalog/kurtki/bomber_billi_billie_chernyy/,,—,747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 747a76b6-7015-11ef-8e10-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
137000,https://lubanikishina.com/upload/iblock/265/2hovd5e41qqi2p1ve1uicimr5ebhrk4e.JPG,Бомбер из замши Порт (PORT),J/PORT/zm/brown,1,Интернет магазин,Куртки,1,Бомбер из замши Порт (PORT)  (40),504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd,—,J/PORT/zm/brown,1,2429,1,0,0,2428,https://lubanikishina.com/catalog/kurtki/bomber_iz_zamshi_port_port_/,,—,504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
137000,https://lubanikishina.com/upload/iblock/265/2hovd5e41qqi2p1ve1uicimr5ebhrk4e.JPG,Бомбер из замши Порт (PORT),J/PORT/zm/brown,1,Интернет магазин,Куртки,1,Бомбер из замши Порт (PORT)  (42),504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,J/PORT/zm/brown,0,2430,1,0,0,2428,https://lubanikishina.com/catalog/kurtki/bomber_iz_zamshi_port_port_/,,—,504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
137000,https://lubanikishina.com/upload/iblock/265/2hovd5e41qqi2p1ve1uicimr5ebhrk4e.JPG,Бомбер из замши Порт (PORT),J/PORT/zm/brown,1,Интернет магазин,Куртки,1,Бомбер из замши Порт (PORT)  (44),504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,J/PORT/zm/brown,0,2431,1,0,0,2428,https://lubanikishina.com/catalog/kurtki/bomber_iz_zamshi_port_port_/,,—,504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
137000,https://lubanikishina.com/upload/iblock/265/2hovd5e41qqi2p1ve1uicimr5ebhrk4e.JPG,Бомбер из замши Порт (PORT),J/PORT/zm/brown,1,Интернет магазин,Куртки,1,Бомбер из замши Порт (PORT)  (46),504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd,—,J/PORT/zm/brown,0,2432,1,0,0,2428,https://lubanikishina.com/catalog/kurtki/bomber_iz_zamshi_port_port_/,,—,504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 504ff4cc-28bd-11f0-8e57-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
23000,https://lubanikishina.com/upload/iblock/a8a/r59lhzcvu7swr7jiu75ri2ak2jut8a75.jpg,Бриджи MARA,BR/MARA/black,1,Интернет магазин,Брюки,6,Бриджи MARA (40),26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd,—,BR/MARA/black,0,2345,1,0,0,2344,https://lubanikishina.com/catalog/bryuki/bridzhi_mara/,,—,26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
23000,https://lubanikishina.com/upload/iblock/a8a/r59lhzcvu7swr7jiu75ri2ak2jut8a75.jpg,Бриджи MARA,BR/MARA/black,1,Интернет магазин,Брюки,6,Бриджи MARA (42),26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd,—,BR/MARA/black,0,2346,1,0,0,2344,https://lubanikishina.com/catalog/bryuki/bridzhi_mara/,,—,26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
23000,https://lubanikishina.com/upload/iblock/a8a/r59lhzcvu7swr7jiu75ri2ak2jut8a75.jpg,Бриджи MARA,BR/MARA/black,1,Интернет магазин,Брюки,6,Бриджи MARA (44),26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd,—,BR/MARA/black,3,2347,1,0,0,2344,https://lubanikishina.com/catalog/bryuki/bridzhi_mara/,,—,26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc217-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc218-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc219-e140-11ee-8e0e-005056b6c1cd; 26a993fc-e397-11ef-8e2c-005056b6c1cd#f72cc21a-e140-11ee-8e0e-005056b6c1cd
